Ng,Np,seed,n_epochs,rnn_type,optimizer,activation,batch_size,initializer,is_periodic,weight_decay,bin_side_in_m,learning_rate,place_cell_rf,box_width_in_m,surround_scale,box_height_in_m,readout_dropout,sequence_length,place_field_loss,recurrent_dropout,place_field_values,n_grad_steps_per_epoch,n_place_fields_per_cell,place_field_normalization,State,Sweep,run_id,run_name,two_NN,_runtime,input_matrix_norm,participation_ratio,method_of_moments_ID,_wandb,_step,_timestamp,pos_decoding_err,recurrent_matrix_norm,loss,bias_norm
4096,512,2,10,UGRNN,adam,linear,200,glorot_normal,False,0.0,0.05,0.0001,0.12,2.2,1,2.2,0,20,crossentropy,0,gaussian,10000,1,global,finished,7li410k6,c95haute,curious-sweep-65,3.217259204562817,34407.0,32041.63671875,5.0,2.7372939586639404,{'runtime': 34410},10.0,1652894155.0,4.2845748364925385,11.092068672180176,3.092259407043457,
4096,512,1,10,UGRNN,adam,linear,200,glorot_normal,False,0.0001,0.05,0.0001,0.12,2.2,1,2.2,0,20,crossentropy,0,gaussian,10000,1,global,finished,7li410k6,ims4xod0,wandering-sweep-64,3.12803165761763,33254.0,30897.775390625,4.0,2.612271547317505,{'runtime': 33257},10.0,1652892575.0,4.6229105442762375,0.00011714131687767804,3.0841832160949707,
4096,512,1,10,UGRNN,adam,linear,200,glorot_normal,False,0.0,0.05,0.0001,0.12,2.2,1,2.2,0,20,crossentropy,0,gaussian,10000,1,global,finished,7li410k6,ci5ep8vz,copper-sweep-63,3.1228745319144973,6345.0,30879.27734375,4.0,2.6306440830230713,{'runtime': 6348},10.0,1652864127.0,4.633848741650581,11.690428733825684,3.0844991207122803,
4096,512,0,10,UGRNN,adam,linear,200,glorot_normal,False,0.0001,0.05,0.0001,0.12,2.2,1,2.2,0,20,crossentropy,0,gaussian,10000,1,global,finished,7li410k6,qyrecgfo,clear-sweep-62,3.12045463469045,25527.0,30873.345703125,5.0,2.7172586917877197,{'runtime': 25530},10.0,1652880415.0,4.033059626817703,9.530388342682272e-05,3.111370325088501,
4096,512,0,10,UGRNN,adam,linear,200,glorot_normal,False,0.0,0.05,0.0001,0.12,2.2,1,2.2,0,20,crossentropy,0,gaussian,10000,1,global,finished,7li410k6,5h40k44a,charmed-sweep-61,3.110045963344249,40978.0,30721.59375,5.0,2.713233470916748,{'runtime': 40981},10.0,1652894961.0,4.024408012628555,11.633403778076172,3.1114425659179688,
4096,512,2,10,LSTM,adam,linear,200,glorot_normal,False,0.0001,0.05,0.0001,0.12,2.2,1,2.2,0,20,crossentropy,0,gaussian,10000,1,global,running,7li410k6,ba4iqsip,floral-sweep-60,3.9681207167899086,44073.0,33358.5078125,3.0,3.3979101181030273,,6.0,1652895214.0,4.241495952010155,8.855097770690918,3.084277391433716,4058.74755859375
4096,512,2,10,LSTM,adam,linear,200,glorot_normal,False,0.0,0.05,0.0001,0.12,2.2,1,2.2,0,20,crossentropy,0,gaussian,10000,1,global,running,7li410k6,kuo97kad,restful-sweep-59,2.898517489693558,44591.0,19601.171875,6.0,2.772360324859619,,6.0,1652893906.0,4.194570705294609,12696.6162109375,3.0825769901275635,4081.106201171875
4096,512,1,10,LSTM,adam,linear,200,glorot_normal,False,0.0001,0.05,0.0001,0.12,2.2,1,2.2,0,20,crossentropy,0,gaussian,10000,1,global,finished,7li410k6,tvazcp40,stilted-sweep-58,3.636859656946046,8730.0,43037.5,4.0,3.485940933227539,{'runtime': 8735},10.0,1652857756.0,4.693934693932533,3.741615295410156,3.085265874862671,4174.1005859375
4096,512,1,10,LSTM,adam,linear,200,glorot_normal,False,0.0,0.05,0.0001,0.12,2.2,1,2.2,0,20,crossentropy,0,gaussian,10000,1,global,running,7li410k6,5vn9x4rj,fluent-sweep-57,2.9902935245048896,44762.0,18752.15625,7.0,2.9361824989318848,,6.0,1652893162.0,4.268144071102142,12649.5068359375,3.0886471271514893,4084.283935546875
4096,512,0,10,LSTM,adam,linear,200,glorot_normal,False,0.0001,0.05,0.0001,0.12,2.2,1,2.2,0,20,crossentropy,0,gaussian,10000,1,global,running,7li410k6,468b6e64,efficient-sweep-56,4.337812676096826,51880.0,35693.8671875,3.0,3.5364990234375,,7.0,1652899030.0,4.073482006788254,7.0758843421936035,3.0825986862182617,4042.619384765625
4096,512,0,10,LSTM,adam,linear,200,glorot_normal,False,0.0,0.05,0.0001,0.12,2.2,1,2.2,0,20,crossentropy,0,gaussian,10000,1,global,running,7li410k6,r6fx28pr,fanciful-sweep-55,2.976616947818979,51996.0,19081.990234375,6.0,2.927448034286499,,7.0,1652899015.0,4.051534086465836,13697.892578125,3.08154821395874,4069.103759765625
