loss,_wandb,two_NN,participation_ratio,recurrent_matrix_norm,method_of_moments_ID,_step,_runtime,_timestamp,pos_decoding_err,input_matrix_norm,Ng,Np,seed,n_epochs,rnn_type,optimizer,activation,batch_size,initializer,is_periodic,weight_decay,bin_side_in_m,learning_rate,place_cell_rf,box_width_in_m,surround_scale,box_height_in_m,readout_dropout,sequence_length,place_field_loss,recurrent_dropout,place_field_values,n_grad_steps_per_epoch,n_place_fields_per_cell,place_field_normalization,State,Sweep,run_id,run_name,bias_norm
3.606186628341675,{'runtime': 11683},3.06599072958345,2,0.8847030401229858,2.618123769760132,20,11682,1658612339,4.539439454674721,12901.53515625,1024,512,1,20,LSTM,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.5,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,wa9zubhe,deft-sweep-667,1004.9144897460938
3.61148738861084,{'runtime': 2420},3.5121928293071627,2,36.928497314453125,2.9126200675964355,20,2419,1658602145,4.621320962905884,4240.404296875,1024,512,1,20,RNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.5,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,t1pjo2m4,distinctive-sweep-665,
3.611485958099365,{'runtime': 4229},3.4755137035275783,2,37.267539978027344,2.8824195861816406,20,4228,1658603913,4.140172153711319,4519.92578125,1024,512,0,20,RNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.5,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,kkishq86,dulcet-sweep-664,
3.6059281826019287,{'runtime': 6953},2.11395892233695,2,0.03358563035726547,2.2671992778778076,20,6953,1658606563,4.540454223752022,15245.763671875,1024,512,1,20,GRU,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.5,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,obrvo1kp,clear-sweep-663,117.16381072998048
3.607357263565063,{'runtime': 7564},1.9854536982541335,2,0.08801010251045227,2.2573251724243164,20,7563,1658605560,4.115455225110054,16680.951171875,1024,512,0,20,GRU,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.5,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,9lw1za25,fast-sweep-662,123.56372833251952
3.605950355529785,{'runtime': 7352},2.055428200346858,3,1.3617695003631525e-05,2.0305163860321045,20,7352,1658604365,4.546694830060005,8027.26513671875,1024,512,1,20,UGRNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.5,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,ntbd5157,still-sweep-661,
3.607346773147583,{'runtime': 3252},2.0091269538660943,3,1.0462133104738314e-05,2.0328476428985596,20,3250,1658599709,4.1112300008535385,7630.1435546875,1024,512,0,20,UGRNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.5,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,oxqebxxa,ancient-sweep-660,
3.6061105728149414,{'runtime': 8281},3.0609549370781695,2,0.893991231918335,2.6183886528015137,20,8280,1658604650,4.518508166074753,12897.345703125,1024,512,1,20,LSTM,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.5,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,peho2yx5,glowing-sweep-659,1004.8338623046876
3.607499837875366,{'runtime': 8805},3.135330795438068,2,0.9228113293647766,2.644536018371582,20,8803,1658604480,4.116177931427956,13627.259765625,1024,512,0,20,LSTM,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.5,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,53x0heyw,major-sweep-658,1022.0113525390624
3.615031480789185,{'runtime': 4109},3.5087248558538966,2,36.53842544555664,2.909402847290039,20,4108,1658599660,4.769901558756828,4225.82470703125,1024,512,1,20,RNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.5,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,yteserpj,golden-sweep-657,
3.6116714477539062,{'runtime': 5048},3.474191361995962,2,37.294471740722656,2.882069826126098,20,5047,1658600328,4.137791320681572,4512.5859375,1024,512,0,20,RNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.5,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,b9j1lfw6,efficient-sweep-656,
3.605928897857666,{'runtime': 22777},2.114255973585293,2,0.033021919429302216,2.266871690750122,20,22777,1658617912,4.5407261699438095,15239.916015625,1024,512,1,20,GRU,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.0,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,bf6jwhlq,fanciful-sweep-655,117.12109375
3.607345581054687,{'runtime': 9697},1.979189171963833,2,0.08850587904453278,2.254592180252075,20,9696,1658604497,4.117928072810173,16692.515625,1024,512,0,20,GRU,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.0,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,4gj1jggn,blooming-sweep-654,124.04310607910156
3.6059987545013423,{'runtime': 6343},2.054278005082029,3,1.4178638593875805e-05,2.031113386154175,20,6342,1658600641,4.543789476156235,8029.88134765625,1024,512,1,20,UGRNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.0,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,rrnpn5eo,bright-sweep-653,
3.6106245517730713,{'runtime': 12633},5.636995468331605,5,0.8247818946838379,3.816974401473999,20,12633,1658606494,4.26364541053772,5693.92236328125,1024,512,0,20,UGRNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.0,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,hh06ak89,effortless-sweep-652,
3.606410503387451,{'runtime': 16079},3.0655915930419417,2,0.9063463807106018,2.6185688972473145,20,16078,1658606899,4.559501260519028,12885.3134765625,1024,512,1,20,LSTM,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.0,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,y4kgc4cq,comfy-sweep-651,1004.2844848632812
3.607462167739868,{'runtime': 5628},3.1183420432187634,2,0.9171278476715088,2.6444544792175293,20,5626,1658596440,4.1045572608709335,13712.33203125,1024,512,0,20,LSTM,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.0,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,2i9ohxs7,warm-sweep-650,1019.2879028320312
3.6108052730560303,{'runtime': 4041},3.493464174688809,2,36.61053466796875,2.9126124382019043,20,4039,1658594279,4.558435454964638,4260.201171875,1024,512,1,20,RNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.0,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,ulfr82rt,avid-sweep-649,
3.613107681274414,{'runtime': 5191},3.477731139677162,2,37.27012634277344,2.8851630687713623,20,5191,1658595255,4.19108122587204,4522.529296875,1024,512,0,20,RNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.0,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,7toxic63,jolly-sweep-648,
3.605936050415039,{'runtime': 4797},2.1126738856432015,2,0.03302200883626938,2.26582670211792,20,4795,1658594786,4.525810852646828,15235.876953125,1024,512,1,20,GRU,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.0,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,kv2aenls,deep-sweep-647,117.15668487548828
3.607374906539917,{'runtime': 1716},1.9772608721598264,2,0.08641228079795837,2.253006935119629,20,1715,1658590789,4.124933481216431,16685.263671875,1024,512,0,20,GRU,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.0,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,2cu340pu,solar-sweep-646,124.42535400390624
3.605978488922119,{'runtime': 7799},2.055935816641766,3,1.358781082672067e-05,2.0305733680725098,20,7798,1658595530,4.553988575935364,8029.009765625,1024,512,1,20,UGRNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.0,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,oisi2kr7,northern-sweep-645,
3.6073789596557617,{'runtime': 8750},2.0057648572971245,3,1.1920195902348496e-05,2.028618097305298,20,8749,1658596350,4.119132831692696,7444.59814453125,1024,512,0,20,UGRNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.0,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,ymcv0s9w,lucky-sweep-644,
3.6060752868652344,{'runtime': 1858},3.0694252427171222,2,0.8872674703598022,2.621037244796753,20,1857,1658589057,4.5288629829883575,12897.6396484375,1024,512,1,20,LSTM,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.0,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,ioqv3gsw,giddy-sweep-643,1005.1873779296876
3.6075406074523926,{'runtime': 8710},3.13043577097963,2,0.9198723435401917,2.648869514465332,20,8710,1658595653,4.113336652517319,13764.6220703125,1024,512,0,20,LSTM,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.0,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,a7n05bm0,solar-sweep-642,1020.5269775390624
3.6105306148529057,{'runtime': 4187},3.518768261543113,2,36.815670013427734,2.916706085205078,20,4186,1658590803,4.552805051207542,4300.00634765625,1024,512,1,20,RNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.0,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,inlayoug,twilight-sweep-641,
3.6121621131896977,{'runtime': 3859},3.466990261663846,2,37.25349044799805,2.886992931365967,20,3859,1658590191,4.167168587446213,4511.46630859375,1024,512,0,20,RNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.16,2.2,1,2.2,0.0,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,jtt5qw9o,classic-sweep-640,
3.3662636280059814,{'runtime': 13271},1.9889264021293016,2,0.2244528830051422,2.1825802326202393,20,13271,1658599593,4.520929604768753,17390.48828125,1024,512,1,20,GRU,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.5,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,k7enb4zl,polished-sweep-639,114.64947509765624
3.363614082336426,{'runtime': 22591},1.8966962114213128,2,0.34700194001197815,2.174747943878174,20,22592,1658608521,4.127468541264534,18774.322265625,1024,512,0,20,GRU,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.5,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,k7m79pb6,daily-sweep-638,114.87771606445312
3.366305112838745,{'runtime': 5653},2.0658310074951154,3,2.1538910004892383e-05,2.0846855640411377,20,5652,1658589971,4.548502340912819,8287.9267578125,1024,512,1,20,UGRNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.5,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,hftn0zi5,royal-sweep-637,
3.3635919094085693,{'runtime': 3286},2.02068087974046,3,2.169804065488279e-05,2.0642480850219727,20,3285,1658587180,4.140021651983261,7926.994140625,1024,512,0,20,UGRNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.5,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,d89am7az,vague-sweep-636,
3.3663861751556396,{'runtime': 14527},2.902868349472169,2,1.184590220451355,2.633985757827759,20,14527,1658596990,4.532036557793617,15191.70703125,1024,512,1,20,LSTM,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.5,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,u2ux6omi,glorious-sweep-635,1024.4818115234375
3.363736152648926,{'runtime': 16286},2.886350024448785,2,1.187943458557129,2.630546808242798,20,16287,1658597980,4.118562862277031,15677.4462890625,1024,512,0,20,LSTM,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.5,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,6d13z7ct,decent-sweep-634,1030.32177734375
3.3729488849639893,{'runtime': 2469},3.6628721715963,2,47.49037170410156,2.884567975997925,20,2469,1658583876,4.622546583414078,4675.28564453125,1024,512,1,20,RNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.5,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,uks8xerw,ethereal-sweep-633,
3.373152732849121,{'runtime': 5097},3.540153107196342,3,43.666961669921875,2.93473219871521,20,5097,1658585910,4.286370053887367,4995.94384765625,1024,512,0,20,RNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.5,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,0xdkl39i,revived-sweep-632,
3.3662590980529785,{'runtime': 14337},1.9893948981524556,2,0.22970658540725708,2.182271957397461,20,14336,1658593833,4.532893747091293,17374.390625,1024,512,1,20,GRU,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.5,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,skzd7vvu,fresh-sweep-631,115.2601318359375
3.363603115081787,{'runtime': 4851},1.895417884795079,2,0.3586249351501465,2.171156167984009,20,4850,1658584298,4.126336798071861,18783.34375,1024,512,0,20,GRU,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.5,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,w53qrq1s,sweet-sweep-630,116.3034896850586
3.3662052154541016,{'runtime': 7861},2.064690235335647,3,2.126806793967262e-05,2.0836217403411865,20,7861,1658586923,4.530535638332367,8282.1494140625,1024,512,1,20,UGRNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.5,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,wh6xyq0h,floral-sweep-629,
3.363558769226074,{'runtime': 7372},2.020321739917001,3,2.1683750674128532e-05,2.0643975734710693,20,7372,1658586299,4.115549102425575,7919.341796875,1024,512,0,20,UGRNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.5,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,df918ftv,ethereal-sweep-628,
3.3663952350616455,{'runtime': 8751},2.900566905733022,2,1.187772274017334,2.6344869136810303,20,8750,1658586593,4.53856959939003,15207.458984375,1024,512,1,20,LSTM,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.5,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,7532j1qf,prime-sweep-627,1024.7830810546875
3.3638226985931396,{'runtime': 18351},2.884806563416606,2,1.180060625076294,2.6342830657958984,20,18350,1658595114,4.133254289627075,15518.0390625,1024,512,0,20,LSTM,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.5,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,j8z040au,desert-sweep-626,1031.36669921875
3.373359203338623,{'runtime': 5105},3.671950040913212,2,47.49460220336914,2.882075309753418,20,5105,1658581667,4.607535898685455,4670.12109375,1024,512,1,20,RNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.5,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,ei6zx73i,flowing-sweep-625,
3.369121789932251,{'runtime': 3348},3.5432511559498683,3,43.62965774536133,2.9336111545562744,20,3348,1658579431,4.149048775434494,5003.8544921875,1024,512,0,20,RNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.5,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,e90691jm,hardy-sweep-624,
3.3662688732147217,{'runtime': 5456},1.98954909222107,2,0.2275487631559372,2.182440280914306,20,5456,1658581367,4.526128992438316,17392.046875,1024,512,1,20,GRU,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.0,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,alz5yrbw,honest-sweep-623,114.93409729003906
3.3636257648468018,{'runtime': 10597},1.8959977901393483,2,0.3537801504135132,2.173501491546631,20,10596,1658586312,4.1289083659648895,18757.900390625,1024,512,0,20,GRU,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.0,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,nutjtn8t,vibrant-sweep-622,115.11062622070312
3.366272211074829,{'runtime': 7107},2.0662197561596707,3,2.065056105493568e-05,2.084334373474121,20,7108,1658582443,4.539695382118225,8281.00390625,1024,512,1,20,UGRNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.0,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,0r2wat8o,winter-sweep-621,
3.363539695739746,{'runtime': 3263},2.0207339093233987,3,2.1583866328001022e-05,2.0639472007751465,20,3262,1658575890,4.1266027837991714,7923.38720703125,1024,512,0,20,UGRNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.0,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,yttxlh9m,cosmic-sweep-620,
3.3664357662200928,{'runtime': 15893},2.9003052765178023,2,1.1881200075149536,2.634773969650269,20,15892,1658587576,4.540160298347473,15198.7783203125,1024,512,1,20,LSTM,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.0,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,42sjsqtx,efficient-sweep-619,1024.1033935546875
3.3637635707855225,{'runtime': 16030},2.890669781677877,2,1.1822097301483154,2.631328821182251,20,16029,1658587710,4.1293129324913025,15534.82421875,1024,512,0,20,LSTM,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.0,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,2vzmh2kx,eager-sweep-618,1029.9158935546875
3.3722481727600098,{'runtime': 4030},3.665166413870977,2,47.4249153137207,2.8870060443878174,20,4029,1658575680,4.5815471559762955,4662.244140625,1024,512,1,20,RNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.0,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,9bf2t0af,crimson-sweep-617,
3.3687491416931152,{'runtime': 5255},3.5520640855248784,3,43.69236373901367,2.938474178314209,20,5255,1658576742,4.165195673704147,5001.74853515625,1024,512,0,20,RNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.0,20,crossentropy,0.5,gaussian,10000,1,global,finished,oa0v2uzr,2gnjqsoq,divine-sweep-616,
3.3663156032562256,{'runtime': 4850},1.9896756224249943,2,0.2316659837961197,2.1820623874664307,20,4848,1658576053,4.540049657225609,17406.0625,1024,512,1,20,GRU,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.0,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,v9df5ozu,ancient-sweep-615,115.07412719726562
3.3635973930358887,{'runtime': 1715},1.8928446242938368,2,0.3508268892765045,2.1750264167785645,20,1714,1658572605,4.121926799416542,18799.4140625,1024,512,0,20,GRU,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.0,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,1wllo1wy,skilled-sweep-614,114.957763671875
3.366217851638794,{'runtime': 7838},2.063911278899984,3,2.0716235667350705e-05,2.083989143371582,20,7837,1658577817,4.541495814919472,8284.3251953125,1024,512,1,20,UGRNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.0,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,hq3lwcaq,flowing-sweep-613,
3.3635504245758057,{'runtime': 3309},2.0211582364703147,3,2.1253836166579276e-05,2.0641441345214844,20,3308,1658570870,4.1145604103803635,7924.58447265625,1024,512,0,20,UGRNN,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.0,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,eli0p85m,dashing-sweep-612,
3.3663971424102783,{'runtime': 8017},2.9073048259820844,2,1.172994613647461,2.6326353549957275,20,8016,1658575308,4.5291852205991745,15184.87890625,1024,512,1,20,LSTM,adam,tanh,200,glorot_uniform,False,0.0001,0.05,0.0001,0.14,2.2,1,2.2,0.0,20,crossentropy,0.0,gaussian,10000,1,global,finished,oa0v2uzr,slxrt0rx,celestial-sweep-611,1024.429931640625
